,0,1,2
0,1,Wham!,Careless Whisper
1,2,Madonna,Like A Virgin
2,3,Wham!,Wake Me Up Before You Go-Go
3,4,Foreigner,I Want To Know What Love Is
4,5,Chaka Khan,I Feel For You
5,6,Daryl Hall and John Oates,Out Of Touch
6,7,Tears For Fears,Everybody Wants To Rule The World
7,8,Dire Straits,Money For Nothing
8,9,Madonna,Crazy For You
9,10,A-Ha,Take On Me
10,11,Paul Young,Everytime You Go Away
11,12,Phil Collins and Philip Bailey,Easy Lover
12,13,REO Speedwagon,Can’t Fight This Feeling
13,14,Starship,We Built This City
14,15,Huey Lewis and The News,The Power Of Love
15,16,Simple Minds,Don’t You (Forget About Me)
16,17,Kool and The Gang,Cherish
17,18,John Parr,St. Elmo’s Fire (Man In Motion)
18,19,Glenn Frey,The Heat Is On
19,20,U.S.A. For Africa,We Are The World
20,21,Tears For Fears,Shout
21,22,Stevie Wonder,Part-Time Lover
22,23,Whitney Houston,Saving All My Love For You
23,24,Bryan Adams,Heaven
24,25,Wham!,Everything She Wants
25,26,New Edition,Cool It Now
26,27,Jan Hammer,Miami Vice Theme
27,28,Billy Ocean,Lover Boy
28,29,Teena Marie,Lover Girl
29,30,Glenn Frey,You Belong To The City
30,31,Ready For The World,Oh Sheila
31,32,Debarge,Rhythm Of The Night
32,33,Phil Collins,One More Night
33,34,Honeydrippers,Sea Of Love
34,35,Duran Duran,A View To A Kill
35,36,Duran Duran,The Wild Boys
36,37,Chicago,You’re The Inspiration
37,38,Pointer Sisters,Neutron Dance
38,39,Pat Benatar,We Belong
39,40,Commodores,Nightshift
40,41,Howard Jones,Things Can Only Get Better
41,42,Jack Wagner,All I Need
42,43,Aretha Franklin,Freeway Of Love
43,44,Corey Hart,Never Surrender
44,45,Phil Collins,Sussudio
45,46,Sheena Easton,Strut
46,47,Whitney Houston,You Give Good Love
47,48,Survivor,The Search Is Over
48,49,Diana Ross,Missing You
49,50,Phil Collins and Marilyn Martin,Separate Lives
50,51,Prince and The Revolution,Raspberry Beret
51,52,Billy Ocean,Suddenly
52,53,Don Henley,The Boys Of Summer
53,54,Murray Head,One Night In Bangkok
54,55,Sting,If You Love Somebody Set Them Free
55,56,Animotion,Obsession
56,57,Tina Turner,We Don’t Need Another Hero
57,58,Madonna,Material Girl
58,59,Tina Turner,Better Be Good To Me
59,60,Tears For Fears,Head Over Heels
60,61,Harold Faltermeyer,Axel F
61,62,Sade,Smooth Operator
62,63,Mary Jane Girls,In My House
63,64,Phil Collins,Don’t Lose My Number
64,65,Cyndi Lauper,All Through The Night
65,66,Bryan Adams,Run To You
66,67,Bruce Springsteen,Glory Days
67,68,‘Til Tuesday,Voices Carry
68,69,Kool and The Gang,Misled
69,70,Eurythmics,Would I Lie To You?
70,71,ABC,Be Near Me
71,72,Paul McCartney,No More Lonely Nights
72,73,Survivor,I Can’t Hold Back
73,74,Bryan Adams,Summer Of ’69
74,75,Katrina and The Waves,Walking On Sunshine
75,76,Wham!,Freedom
76,77,Julian Lennon,Too Late For Goodbyes
77,78,Julian Lennon,Valotte
78,79,Power Station,Some Like It Hot
79,80,Ashford and Simpson,Solid
80,81,Madonna,Angel
81,82,Bruce Springsteen,I’m On Fire
82,83,Daryl Hall and John Oates,Method Op Modern Love
83,84,Thompson Twins,Lay Your Hands On Me
84,85,Debarge,Who’s Holding Donna Now
85,86,John Cougar Mellencamp,Lonely Ol’ Night
86,87,Heart,What About Love
87,88,David Lee Roth,California Girls
88,89,Kool and The Gang,Fresh
89,90,Jermaine Jackson,Do What You Do
90,91,The Time,Jungle Of Love
91,92,Bruce Springsteen,Born In The USA
92,93,Tina Turner,Private Dancer
93,94,Aretha Franklin,Who’s Zoomin’ Who
94,95,Sting,Fortress Around Your Heart
95,96,Lionel Richie,Penny Lover
96,97,Don Henley,All She Wants To Do Is Dance
97,98,Madonna,Dress You Up
98,99,Night Ranger,Sentimental Street
99,100,Sheena Easton,Sugar Walls
