,0,1,2
0,1,Coolio,Gangsta’s Paradise
1,2,TLC,Waterfalls
2,3,TLC,Creep
3,4,Seal,Kiss From A Rose
4,5,Boyz II Men,On Bended Knee
5,6,Real McCoy,Another Night
6,7,Mariah Carey,Fantasy
7,8,Madonna,Take A Bow
8,9,Monica,Don’t Take It Personal (Just One Of Dem Days)
9,10,Montell Jordan,This Is How We Do It
10,11,Dionne Farris,I Know
11,12,Boyz II Men,Water Runs Dry
12,13,Adina Howard,Freak Like Me
13,14,Blues Traveler,Run-Around
14,15,All-4-One,I Can Love You Like That
15,16,Bryan Adams,Have You Ever Really Loved A Woman?
16,17,Bon Jovi,Always
17,18,Shaggy,Boombastic / In The Summertime
18,19,Nicki French,Total Eclipse Of The Heart
19,20,Des’ree,You Gotta Be
20,21,Michael Jackson,You Are Not Alone
21,22,Hootie and The Blowfish,Hold My Hand
22,23,Notorious B.I.G.,One More Chance-Stay With Me
23,24,Ini Kamoze,Here Comes The Hotstepper
24,25,Soul For Real,Candy Rain
25,26,Hootie and The Blowfish,Let Her Cry
26,27,Blessid Union Of Souls,I Believe
27,28,TLC,Red Light Special
28,29,Janet Jackson,Runaway
29,30,Sheryl Crow,Strong Enough
30,31,Vanessa Williams,Colors Of The Wind
31,32,Jon B.,Someone To Love
32,33,Hootie and The Blowfish,Only Wanna Be With You
33,34,Brownstone,If You Love Me
34,35,Martin Page,In The House Of Stone And Light
35,36,Luniz,I Got 5 On It
36,37,Brandy,Baby
37,38,Real McCoy,Run Away
38,39,Sophie B. Hawkins,As I Lay Me Down
39,40,Mokenstef,He’s Mine
40,41,Collective Soul,December
41,42,Method Man-Mary J. Blige,I’ll Be There For You-You’re All I Need To Get By
42,43,Diana King,Shy Guy
43,44,Melissa Etheridge,I’m The Only One
44,45,Soul For Real,Every Little Thing I Do
45,46,BLACKstreet,Before I Let You Go
46,47,Notorious B.I.G.,Big Poppa / Warning
47,48,4 P.M.,Sukiyaki
48,49,Brandy,I Wanna Be Down
49,50,Boyz II Men,I’ll Make Love To You
50,51,2Pac,Dear Mama / Old School
51,52,Jamie Walters,Hold On
52,53,Dr. Dre,Keep Their Heads Ringin’
53,54,Corona,The Rhythm Of The Night
54,55,Del Amitri,Roll To Me
55,56,Michael Jackson and Janet Jackson,Scream / Childhood
56,57,Jodeci,Freek’n You
57,58,Skee-lo,I Wish
58,59,Elton John,Believe
59,60,Natalie Merchant,Carnival
60,61,Tom Petty,You Don’t Know How It Feels
61,62,Take That,Back For Good
62,63,69 Boyz,Tootsee Roll
63,64,Janet Jackson,You Want This-70’s Love Groove
64,65,Groove Theory,Tell Me
65,66,Total,Can’t You See
66,67,Sheryl Crow,All I Wanna Do
67,68,Subway,This Lil’ Game We Play
68,69,Real McCoy,Come And Get Your Love
69,70,Bon Jovi,This Ain’t A Love Song
70,71,Madonna,Secret
71,72,Junior M.A.F.I.A.,Player’s Anthem
72,73,Naughty By Nature,Feel Me Flow
73,74,Jade,Every Day Of The Week
74,75,Vanessa Williams,The Sweetest Days
75,76,20 Fingers feat. Gillette,Short Dick Man
76,77,Brandy,Brokenhearted
77,78,Annie Lennox,No More “I Love You’s”
78,79,Faith Evans,You Used To Love Me
79,80,Immature,Constantly
80,81,U2,"Hold Me, Thrill Me, Kiss Me, Kill Me"
81,82,Crystal Waters,100% Pure Love
82,83,Raphael Saadiq,Ask Of You
83,84,Az,Sugar Hill
84,85,Better Than Ezra,Good
85,86,D’angelo,Brown Sugar
86,87,Gloria Estefan,Turn The Beat Around
87,88,After 7,‘Til You Do Me Right
88,89,Bone Thugs-N-Harmony,1st Of Tha Month
89,90,Melissa Etheridge,Like The Way I Do-If I Wanted To
90,91,Firehouse,I Live My Life For You
91,92,Stevie B,Dream About You-Funky Melody
92,93,Rednex,Cotton Eye Joe
93,94,Boyz II Men,Thank You
94,95,Pretenders,I’ll Stand By You
95,96,N II U,I Miss You
96,97,Da Brat,Give It 2 You
97,98,Brandy,Best Friend
98,99,Soul Asylum,Misery
99,100,Van Halen,Can’t Stop Lovin’ You
