,0,1,2
0,1,Blondie,Call Me
1,2,Pink Floyd,Another Brick In The Wall
2,3,Olivia Newton-John,Magic
3,4,Michael Jackson,Rock With You
4,5,Captain and Tennille,Do That To Me One More Time
5,6,Queen,Crazy Little Thing Called Love
6,7,Paul McCartney,Coming Up
7,8,"Lipps, Inc.",Funkytown
8,9,Billy Joel,It’s Still Rock And Roll To Me
9,10,Bette Midler,The Rose
10,11,Rupert Holmes,Escape (The Pina Colada Song)
11,12,Gary Numan,Cars
12,13,Smokey Robinson,Cruisin’
13,14,Spinners,Working My Way Back To You-Forgive Me Girl
14,15,Air Supply,Lost In Love
15,16,Elton John,Little Jeannie
16,17,Cristopher Cross,Ride Like The Wind
17,18,Diana Ross,Upside Down
18,19,K.C. and The Sunshine Band,Please Don’t Go
19,20,Styx,Babe
20,21,Billy Preston and Syreeta,With You I’m Born Again
21,22,Manhattans,Shining Star
22,23,Commodores,Still
23,24,Teri De Sario With K.C.,"Yes, I’m Ready"
24,25,Dr. Hook,Sexy Eyes
25,26,Robbie Dupree,Steal Away
26,27,Ambrosia,Biggest Part Of Me
27,28,Kenny Loggins,This Is It
28,29,Spinners,Cupid/I’ve Loved You For A Long Time
29,30,Jermaine Jackson,Let’s Get Serious
30,31,Kenny Rogers and Kim Carnes,Don’t Fall In Love With A Dreamer
31,32,Christopher Cross,Sailing
32,33,Dan Fogelberg,Longer
33,34,Kenny Rogers,Coward Of The County
34,35,Kool and The Gang,Ladies Night
35,36,Kool and The Gang,Too Hot
36,37,S.O.S. Band,Take Your Time
37,38,Barbra Streisand and Donna Summer,No More Tears (Enough Is Enough)
38,39,Kim Carnes,More Love
39,40,M,Pop Muzik
40,41,Pretenders,Brass In Pocket
41,42,"Ray, Goodman and Brown",Special Lady
42,43,Stevie Wonder,Send One Your Love
43,44,Shalamar,The Second Time Around
44,45,Cliff Richard,We Don’t Talk Anymore
45,46,Brothers Johnson,Stomp
46,47,Eagles,Heartache Tonight
47,48,Rocky Burnette,Tired Of Toein’ The Line
48,49,Dr. Hook,Better Love Next Time
49,50,Rupert Holmes,Him
50,51,Bob Seger and The Silver Bullet Band,Against The Wind
51,52,Donna Summer,On The Radio
52,53,Rolling Stones,Emotional Rescue
53,54,Herb Alpert,Rise
54,55,Air Supply,All Out Of Love
55,56,Little River Band,Cool Change
56,57,J.D. Souther,You’re Only Lonely
57,58,Andy Gibb,Desire
58,59,Pete Townshend,Let My Love Open The Door
59,60,Steve Forbert,Romeo’s Tune
60,61,Anne Murray,Daydream Believer
61,62,Eagles,I Can’t Tell You Why
62,63,Isaac Hayes,Don’t Let Go
63,64,Tom Petty and The Heartbreakers,Don’t Do Me Like That
64,65,Michael Jackson,She’s Out Of My Life
65,66,Irene Cara,Fame
66,67,Bob Seger and The Silver Bullet Band,Fire Lake
67,68,Linda Ronstadt,How Do I Make You
68,69,Benny Mardones,Into The Night
69,70,Pure Prairie League,Let Me Love You Tonight
70,71,Genesis,Misunderstanding
71,72,Dirt Band,An American Dream
72,73,Carole King,One Fine Day
73,74,Donna Summer,Dim All The Lights
74,75,Billy Joel,You May Be Right
75,76,Neil Sedaka and Dara Sedaka,Should’ve Never Let You Go
76,77,Charlie Dore,Pilot Of The Airwaves
77,78,Linda Ronstadt,Hurt So Bad
78,79,Michael Jackson,Off The Wall
79,80,Peaches and Herb,I Pledge My Love
80,81,Eagles,The Long Run
81,82,Mickey Gilley,Stand By Me
82,83,Pat Benatar,Heartbreaker
83,84,Dionne Warwick,Deja Vu
84,85,Eddie Rabbitt,Drivin’ My Life Away
85,86,Supertramp,Take The Long Way Home
86,87,Fleetwood Mac,Sara
87,88,Daryl Hall and John Oates,Wait For Me
88,89,Boz Scaggs,Jo Jo
89,90,Neil Diamond,September Morn
90,91,George Benson,Give Me The Night
91,92,Anne Murray,Broken Hearted Me
92,93,Kenny Rogers,You Decorated My Life
93,94,Fleetwood Mac,Tusk
94,95,Prince,I Wanna Be Your Lover
95,96,Charlie Daniels Band,In America
96,97,Boz Scaggs,Breakdown Dead Ahead
97,98,Barry Manilow,Ships
98,99,Joe Walsh,All Night Long
99,100,Tom Petty and The Heartbreakers,Refugee
